artist,track,id,danceability,energy,loudness,acousticness,instrumentalness,liveness,valence,tempo,duration
Taylor Swift,Who’s Afraid of Little Old Me?,36t6frENUtCYKuZus6aYDO,0.606,0.338,-10.555,0.315,0.0,0.106,0.238,119.88,334085
Taylor Swift,I Can Fix Him (No Really I Can),2h3MDMf8sd9s4XIzpTBIjX,0.661,0.257,-13.961,0.768,1.72e-06,0.176,0.318,106.896,156298
Taylor Swift,loml,6RSG1dKPV5gEvILwJb4QtS,0.423,0.272,-12.56,0.858,0.0,0.108,0.195,78.539,277157
Taylor Swift,I Can Do It With a Broken Heart,4q5YezDOIPcoLr8R81x9qy,0.701,0.751,-8.39,0.123,0.0,0.15,0.22,129.994,218005
Taylor Swift,The Smallest Man Who Ever Lived,2v1ivOOsgn64g5OywuH55L,0.426,0.41,-9.083,0.52,0.0,0.338,0.263,142.377,245542
Taylor Swift,The Alchemy,1dhMTsEZz6ZEquGvmzVoHn,0.64,0.421,-8.802,0.422,0.0,0.103,0.353,100.056,196900
Taylor Swift,Clara Bow,1UlhrRvYzbHEyugEDspXUB,0.686,0.318,-11.046,0.636,0.00144,0.106,0.214,104.088,216662
Taylor Swift,Welcome To New York (Taylor's Version),4WUepByoeqcedHoYhSNHRt,0.76,0.602,-4.871,0.00661,0.000133,0.325,0.685,116.989,212600
Taylor Swift,Blank Space (Taylor's Version),0108kcWLnn2HlH2kedi1gn,0.732,0.719,-5.469,0.0901,0.0,0.331,0.71,96.035,231833
Taylor Swift,Style (Taylor's Version),3Vpk1hfMAQme8VJ0SNRSkd,0.514,0.821,-4.803,0.000456,0.0232,0.0946,0.298,94.884,231000
Taylor Swift,Out Of The Woods (Taylor's Version),1OcSfkeCg9hRC2sFKB4IMJ,0.544,0.884,-5.973,0.000466,0.000134,0.381,0.184,91.981,235800
Taylor Swift,All You Had To Do Was Stay (Taylor's Version),2k0ZEeAqzvYMcx9Qt5aClQ,0.589,0.713,-5.614,0.000778,0.0,0.188,0.54,97.069,193289
Taylor Swift,Shake It Off (Taylor's Version),50yNTF0Od55qnHLxYsA5Pw,0.632,0.805,-5.707,0.0112,2.51e-05,0.156,0.903,160.052,219209
Taylor Swift,I Wish You Would (Taylor's Version),3FxJDucHWdw6caWTKO5b23,0.671,0.853,-6.568,0.00388,9.48e-06,0.0812,0.523,118.032,207650
Taylor Swift,Bad Blood (Taylor's Version),7oZONwFiFIErZcXAtTu7FY,0.624,0.711,-6.347,0.0369,3.13e-06,0.19,0.347,169.999,211104
Taylor Swift,Wildest Dreams (Taylor's Version),27exgla7YBw9DUNNcTIpjy,0.587,0.663,-7.439,0.0348,9.95e-05,0.0971,0.539,139.993,220433
Taylor Swift,How You Get The Girl (Taylor's Version),733OhaXQIHY7BKtY3vnSkn,0.761,0.67,-5.956,0.00198,1.08e-05,0.0873,0.519,120.014,247533
